Test unit,test 3
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.35,0.9,0.023
0.35,-0.9,0.023
0.21,-1.6,0.014
0.21,-3.4,0.014
0.07,-4.1,0.005
0.07,-5.3,0.005
-0.07,-6,-0.005
-0.07,-7.8,-0.005
-0.21,-8.5,-0.014
-0.21,-9.7,-0.014
-0.35,-10.3,-0.024
-0.35,-11.6,-0.024
-0.49,-12.2,-0.033
-0.49,-14.1,-0.033
-0.64,-14.7,-0.042
-0.64,-16,-0.042
-0.78,-16.6,-0.052
-0.78,-17.9,-0.052
-0.92,-18.5,-0.061
-0.92,-20.4,-0.061
-1.06,-21,-0.07
-1.06,-22.3,-0.07
-1.2,-22.9,-0.08
-1.2,-24.1,-0.08
-1.34,-24.8,-0.089
-1.34,-26.7,-0.089
-1.48,-27.3,-0.099
-1.48,-28.5,-0.099
-1.62,-29.2,-0.108
-1.62,-30.4,-0.108
-1.76,-31,-0.117
-1.76,-32.3,-0.117
-1.9,-32.9,-0.127
-1.9,-33.5,-0.127
-1.9,-27.3,-0.127
-1.76,-26.7,-0.117
-1.76,-23.5,-0.117
-1.62,-22.9,-0.108
-1.62,-20.4,-0.108
-1.48,-19.8,-0.099
-1.48,-17.2,-0.099
-1.34,-16.6,-0.089
-1.34,-14.7,-0.089
-1.2,-14.1,-0.08
-1.2,-11.6,-0.08
-1.06,-11,-0.07
-1.06,-9.7,-0.07
-0.92,-9.1,-0.061
-0.92,-7.2,-0.061
-0.78,-6.6,-0.052
-0.78,-4.7,-0.052
-0.64,-4.1,-0.042
-0.64,-2.8,-0.042
-0.49,-2.2,-0.033
-0.49,-0.3,-0.033
-0.35,-0.3,-0.024
NaN,NaN,NaN
-0.35,0.3,-0.024
-0.35,1.6,-0.024
-0.21,2.2,-0.014
-0.21,4.1,-0.014
-0.07,4.7,-0.005
-0.07,6.6,-0.005
0.07,7.2,0.005
0.07,9.1,0.005
0.21,9.7,0.014
0.21,11.6,0.014
0.35,12.2,0.023
0.35,13.5,0.023
0.49,14.1,0.033
0.49,15.4,0.033
0.63,16,0.042
0.63,17.9,0.042
0.77,18.5,0.052
0.77,19.7,0.052
0.92,20.4,0.061
0.92,21.6,0.061
1.06,22.3,0.07
1.06,23.5,0.07
1.2,24.1,0.08
1.2,25.4,0.08
1.34,26,0.089
1.34,27.3,0.089
1.48,27.9,0.099
1.48,29.8,0.099
1.62,30.4,0.108
1.62,31.7,0.108
1.76,32.3,0.117
1.76,34.2,0.117
1.9,34.8,0.127
1.9,36,0.127
2.04,36.7,0.136
2.04,31.7,0.136
1.9,31,0.127
1.9,27.9,0.127
1.76,27.3,0.117
1.76,24.1,0.117
1.62,23.5,0.108
1.62,21,0.108
1.48,20.4,0.099
1.48,17.9,0.099
1.34,17.2,0.089
1.34,15.4,0.089
1.2,14.7,0.08
1.2,12.8,0.08
1.06,12.2,0.07
1.06,10.3,0.07
0.92,9.7,0.061
0.92,8.5,0.061
0.77,7.8,0.052
0.77,6,0.052
0.63,5.3,0.042
0.63,4.1,0.042
0.49,3.4,0.033
0.49,1.6,0.033
0.35,0.9,0.023
0.35,-0.9,0.023
0.21,-1.6,0.014
0.21,-2.8,0.014
0.07,-3.4,0.005
0.07,-5.3,0.005
-0.07,-6,-0.005
-0.07,-7.2,-0.005
-0.21,-7.8,-0.014
-0.21,-9.1,-0.014
-0.35,-9.7,-0.024
-0.35,-11.6,-0.024
-0.49,-12.2,-0.033
-0.49,-13.5,-0.033
-0.64,-14.1,-0.042
-0.64,-16,-0.042
-0.78,-16.6,-0.052
-0.78,-17.9,-0.052
-0.92,-18.5,-0.061
-0.92,-19.8,-0.061
-1.06,-20.4,-0.07
-1.06,-21.6,-0.07
-1.2,-22.3,-0.08
-1.2,-24.1,-0.08
-1.34,-24.8,-0.089
-1.34,-26,-0.089
-1.48,-26.7,-0.099
-1.48,-27.9,-0.099
-1.62,-28.5,-0.108
-1.62,-30.4,-0.108
-1.76,-31,-0.117
-1.76,-32.3,-0.117
-1.9,-32.9,-0.127
